INTERACTOR_A	INTERACTOR_B	OFFICIAL_SYMBOL_A	OFFICIAL_SYMBOL_B	ALIASES_FOR_A	ALIASES_FOR_B	EXPERIMENTAL_SYSTEM	SOURCE	PUBMED_ID	ORGANISM_A_ID	ORGANISM_B_ID
ETG8655	ETG60416	DYNLL1	Pfkp	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	ATP-PFK|PFK-C|PFK-P	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG65152	DYNLL1	Pfkm	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	ATP-PFK|PFK-A|Pfk-M	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG81918	DYNLL1	Pard3	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	Par3	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG64862	DYNLL1	Map1lc3b	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	Map1lc3|Mpl3|zbs559	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG29489	DYNLL1	Dync1h1	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	Dnch1|Dnchc1	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG307169	DYNLL1	Mastl	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	-	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG29495	DYNLL1	Dlg4	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	Dlgh4|PSD95|Sap90	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG171574	DYNLL1	Dnm3	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	dynamin-2	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG24409	DYNLL1	Grin2a	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	GluN2A|NMDAR2A|NR2A	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG81522	DYNLL1	Mtr	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	methioninesynthase	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG25751	DYNLL1	Dnm2	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	DYIIAAB	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG29264	DYNLL1	Clip2	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	CLIP-115|Cyln2	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG24598	DYNLL1	Nos1	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	bNOS	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG191573	DYNLL1	Grin3a	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	GluN3A|NR3|chi-1	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG8655	ETG289623	DYNLL1	Ube2k	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	E2-25k|Hip2|Hypg|Lig	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
ETG117542	ETG58948	Baiap2	Dlg3	Irsp53	Dlgh3	Two-hybrid	Hori K (2003)	14596909	10116	10116
ETG117542	ETG361503	Baiap2	Eps8l1	Irsp53	-	Two-hybrid	Hori K (2003)	14596909	10116	10116
ETG117542	ETG308113	Baiap2	Cnksr3	Irsp53	Magi1|Prp4	Two-hybrid	Hori K (2003)	14596909	10116	10116
ETG117542	ETG25252	Baiap2	Dlg1	Irsp53	Dlgh1|SAP97	Two-hybrid	Hori K (2003)	14596909	10116	10116
ETG117542	ETG113970	Baiap2	Magi2	Irsp53	Acvrinp1|Acvrip1|S-SCAM	Two-hybrid	Hori K (2003)	14596909	10116	10116
ETG117542	ETG60377	Baiap2	Lin7b	Irsp53	Veli1a|Veli2	Two-hybrid	Hori K (2003)	14596909	10116	10116
ETG10458	ETG60377	BAIAP2	Lin7b	BAP2|FLAF3|IRSP53	Veli1a|Veli2	Reconstituted Complex	Hori K (2003)	14596909	9606	10116
ETG117542	ETG60377	Baiap2	Lin7b	Irsp53	Veli1a|Veli2	Affinity Capture-Western	Hori K (2003)	14596909	10116	10116
ETG65218	ETG29546	Agap2	Homer1	Centg1|Pike	HOMER1F|Vesl-1	Affinity Capture-Western	Rong R (2003)	14528310	10116	10116
ETG65218	ETG29547	Agap2	Homer2	Centg1|Pike	Vesl-2	Affinity Capture-Western	Rong R (2003)	14528310	10116	10116
ETG29290	rCG_59132	Adora1	Epb41l2	-	Epb4.1l2|RGD1563977	Two-hybrid	Lu D (2004)	12974671	10116	10116
ETG29290	rCG_59132	Adora1	Epb41l2	-	Epb4.1l2|RGD1563977	Affinity Capture-Western	Lu D (2004)	12974671	10116	10116
ETG29290	rCG_59132	Adora1	Epb41l2	-	Epb4.1l2|RGD1563977	Reconstituted Complex	Lu D (2004)	12974671	10116	10116
ETG25456	ETG64845	Glrb	Gphn	-	Geph	Affinity Capture-Western	Giesemann T (2003)	12967995	10116	10116
ETG25456	ETG64303	Glrb	Pfn1	-	-	Affinity Capture-Western	Giesemann T (2003)	12967995	10116	10116
ETG25456	ETG268566	Glrb	Gphn	-	5730552E08Rik|AI662856|BC027112|C230040D23|GPH|GPHRYN|geph	Affinity Capture-Western	Giesemann T (2003)	12967995	10116	10090
ETG25456	DN-183N8.15-001	Glrb	Pfn1	-	Pfn	Affinity Capture-Western	Giesemann T (2003)	12967995	10116	10090
ETG64845	ETG64303	Gphn	Pfn1	Geph	-	Reconstituted Complex	Giesemann T (2003)	12967995	10116	10116
ETG64845	ETG81531	Gphn	Pfn2	Geph	-	Reconstituted Complex	Giesemann T (2003)	12967995	10116	10116
ETG64845	ETG360891	Gphn	Enah	Geph	-	Reconstituted Complex	Giesemann T (2003)	12967995	10116	10116
ETG64845	ETG360891	Gphn	Enah	Geph	-	Affinity Capture-Western	Giesemann T (2003)	12967995	10116	10116
ETG1808	ETG29419	DPYSL2	Numb	CRMP-2|CRMP2|DHPRP2|DRP-2|DRP2|N2A3|ULIP-2|ULIP2	-	Affinity Capture-Western	Nishimura T (2003)	12942088	9606	10116
ETG24766	ETG6330	Scn2a	SCN4B	NachII|Nav1.2|RII/RIIA|RNSCPIIR|SCN|Scn2a1|Scn2a2|ScpII	ATFB17|LQT10|Navbeta4	Affinity Capture-Western	Yu FH (2003)	12930796	10116	9606
RP11-399C16.2	ETG64158	MLLT10	Tuba1a	AF10	Tuba1	Affinity Capture-MS	Hussain NK (2003)	12750376	9606	10116
ETG117277	ETG64158	Epn1	Tuba1a	-	Tuba1	Reconstituted Complex	Hussain NK (2003)	12750376	10116	10116
ETG64158	ETG117277	Tuba1a	Epn1	Tuba1	-	Affinity Capture-Western	Hussain NK (2003)	12750376	10116	10116
ETG64158	ETG60443	Tuba1a	Epn2	Tuba1	-	Affinity Capture-Western	Hussain NK (2003)	12750376	10116	10116
ETG7157	ETG365895	TP53	Hipk1	BCC7|LFS1|P53|TRP53	-	Two-hybrid	Kondo S (2003)	12702766	9606	10116
ETG54323	ETG85423	Arc	Tfpt	rg3.1	Amida	Affinity Capture-Western	Irie Y (2000)	10644725	10116	10116
ETG85423	ETG54323	Tfpt	Arc	Amida	rg3.1	Affinity Capture-Western	Irie Y (2000)	10644725	10116	10116
ETG65137	RP1-81D8.1	Ruvbl1	PLG	NMP238|Pontin52|Tip49a	-	Reconstituted Complex	Hawley SB (2001)	11027681	10116	9606
ETG83797	ETG24516	Smarcd1	Jun	AA407987|Baf60a|D15Kz1	-	Reconstituted Complex	Ito T (2001)	11053448	10090	10116
ETG83797	ETG314322	Smarcd1	Fos	AA407987|Baf60a|D15Kz1	c-fos	Reconstituted Complex	Ito T (2001)	11053448	10090	10116
ETG171379	ETG361825	Smarca4	Smarcb1	brg-1	-	Co-fractionation	Wang W (1996)	8895581	10116	10116
ETG29665	ETG60	P2rx7	ACTB	-	BRWS1|PS1TP5BP1	Affinity Capture-MS	Kim M (2001)	11707406	10116	9606
ETG29665	ETG3312	P2rx7	HSPA8	-	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Affinity Capture-MS	Kim M (2001)	11707406	10116	9606
ETG29665	ETG3308	P2rx7	HSPA4	-	APG-2|HEL-S-5a|HS24/P52|HSPH2|RY|hsp70|hsp70RY	Affinity Capture-MS	Kim M (2001)	11707406	10116	9606
ETG29665	ETG5803	P2rx7	PTPRZ1	-	HPTPZ|HPTPzeta|PTP-ZETA|PTP18|PTPRZ|PTPZ|R-PTP-zeta-2|RPTPB|RPTPbeta|phosphacan	Affinity Capture-MS	Kim M (2001)	11707406	10116	9606
ETG29665	ETG3689	P2rx7	ITGB2	-	CD18|LAD|LCAMB|LFA-1|MAC-1|MF17|MFI7	Affinity Capture-MS	Kim M (2001)	11707406	10116	9606
ETG29665	ETG4356	P2rx7	MPP3	-	DLG3	Affinity Capture-MS	Kim M (2001)	11707406	10116	9606
ETG29665	ETG3909	P2rx7	LAMA3	-	BM600|E170|LAMNA|LOCS	Affinity Capture-MS	Kim M (2001)	11707406	10116	9606
ETG29665	ETG81	P2rx7	ACTN4	-	ACTININ-4|FSGS|FSGS1	Affinity Capture-MS	Kim M (2001)	11707406	10116	9606
ETG29665	RP11-534G20.1	P2rx7	SVIL	-	-	Affinity Capture-MS	Kim M (2001)	11707406	10116	9606
ETG29665	RP11-534G20.1	P2rx7	SVIL	-	-	Affinity Capture-Western	Kim M (2001)	11707406	10116	9606
ETG29665	ETG5803	P2rx7	PTPRZ1	-	HPTPZ|HPTPzeta|PTP-ZETA|PTP18|PTPRZ|PTPZ|R-PTP-zeta-2|RPTPB|RPTPbeta|phosphacan	Affinity Capture-Western	Kim M (2001)	11707406	10116	9606
ETG29665	ETG3689	P2rx7	ITGB2	-	CD18|LAD|LCAMB|LFA-1|MAC-1|MF17|MFI7	Affinity Capture-Western	Kim M (2001)	11707406	10116	9606
ETG29665	ETG60	P2rx7	ACTB	-	BRWS1|PS1TP5BP1	Affinity Capture-Western	Kim M (2001)	11707406	10116	9606
ETG29665	ETG3312	P2rx7	HSPA8	-	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Affinity Capture-Western	Kim M (2001)	11707406	10116	9606
ETG29665	ETG3320	P2rx7	HSP90AA1	-	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Affinity Capture-Western	Kim M (2001)	11707406	10116	9606
ETG29665	ETG3308	P2rx7	HSPA4	-	APG-2|HEL-S-5a|HS24/P52|HSPH2|RY|hsp70|hsp70RY	Affinity Capture-Western	Kim M (2001)	11707406	10116	9606
ETG29665	ETG4356	P2rx7	MPP3	-	DLG3	Affinity Capture-Western	Kim M (2001)	11707406	10116	9606
ETG29665	ETG3909	P2rx7	LAMA3	-	BM600|E170|LAMNA|LOCS	Affinity Capture-Western	Kim M (2001)	11707406	10116	9606
ETG29665	ETG81	P2rx7	ACTN4	-	ACTININ-4|FSGS|FSGS1	Affinity Capture-Western	Kim M (2001)	11707406	10116	9606
ETG29665	ETG3320	P2rx7	HSP90AA1	-	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Affinity Capture-MS	Kim M (2001)	11707406	10116	9606
ETG553106	ETG54241	Ncald	Cltc	-	-	Affinity Capture-MS	Ivings L (2002)	11964161	10116	10116
ETG553106	ETG81822	Ncald	Actb	-	Actx	Affinity Capture-MS	Ivings L (2002)	11964161	10116	10116
ETG553106	ETG24383	Ncald	Gapdh	-	BARS-38|Gapd	Affinity Capture-MS	Ivings L (2002)	11964161	10116	10116
ETG553106	ETG54241	Ncald	Cltc	-	-	Reconstituted Complex	Ivings L (2002)	11964161	10116	10116
ETG553106	ETG81822	Ncald	Actb	-	Actx	Reconstituted Complex	Ivings L (2002)	11964161	10116	10116
ETG553106	ETG54241	Ncald	Cltc	-	-	Affinity Capture-Western	Ivings L (2002)	11964161	10116	10116
ETG553106	ETG81822	Ncald	Actb	-	Actx	Affinity Capture-Western	Ivings L (2002)	11964161	10116	10116
ETG553106	ETG24383	Ncald	Gapdh	-	BARS-38|Gapd	Affinity Capture-Western	Ivings L (2002)	11964161	10116	10116
ETG83718	ETG29753	Clic4	Ywhae	-	14-3-3e	Affinity Capture-MS	Suginta W (2001)	11563969	10116	10116
ETG83718	ETG25578	Clic4	Ywhaz	-	14-3-3z	Affinity Capture-MS	Suginta W (2001)	11563969	10116	10116
ETG83718	ETG81822	Clic4	Actb	-	Actx	Affinity Capture-MS	Suginta W (2001)	11563969	10116	10116
ETG83718	ETG140694	Clic4	Dnm1	-	Dnm	Affinity Capture-MS	Suginta W (2001)	11563969	10116	10116
ETG83718	ETG25578	Clic4	Ywhaz	-	14-3-3z	Affinity Capture-Western	Suginta W (2001)	11563969	10116	10116
ETG83718	ETG81822	Clic4	Actb	-	Actx	Affinity Capture-Western	Suginta W (2001)	11563969	10116	10116
ETG83718	ETG140694	Clic4	Dnm1	-	Dnm	Affinity Capture-Western	Suginta W (2001)	11563969	10116	10116
ETG83718	ETG25578	Clic4	Ywhaz	-	14-3-3z	Reconstituted Complex	Suginta W (2001)	11563969	10116	10116
ETG83718	ETG140694	Clic4	Dnm1	-	Dnm	Reconstituted Complex	Suginta W (2001)	11563969	10116	10116
ETG25578	ETG83718	Ywhaz	Clic4	14-3-3z	-	Reconstituted Complex	Suginta W (2001)	11563969	10116	10116
ETG140694	ETG25932	Dnm1	CLIC4	Dnm	CLIC4L|H1|MTCLIC|huH1|p64H1	Co-fractionation	Suginta W (2001)	11563969	10116	9606
ETG83718	ETG857	Clic4	CAV1	-	BSCL3|CGL3|LCCNS|MSTP085|PPH3|VIP21	Co-fractionation	Suginta W (2001)	11563969	10116	9606
ETG25097	ETG81822	Pld2	Actb	Pldc	Actx	Affinity Capture-Western	Lee S (2001)	11373276	10116	10116
ETG25097	ETG81822	Pld2	Actb	Pldc	Actx	Affinity Capture-MS	Lee S (2001)	11373276	10116	10116
ETG5338	ETG81822	PLD2	Actb	-	Actx	Reconstituted Complex	Lee S (2001)	11373276	9606	10116
ETG5337	ETG81822	PLD1	Actb	-	Actx	Reconstituted Complex	Lee S (2001)	11373276	9606	10116
ETG79434	CTA-250D10.14-005	Rab11b	SREBF2	-	SREBP-2|SREBP2|bHLHd2	Two-hybrid	Stelzl U (2005)	16169070	10116	9606
RP11-2K17.2	ETG288353	SUV39H2	Cggbp1	KMT1B	-	Two-hybrid	Stelzl U (2005)	16169070	9606	10116
ETG114034	ETG84026	TOE1	Dnaja2	-	Cpr3|Dj3|DjA2|Dnj3|Hirip4|Rdj2	Two-hybrid	Stelzl U (2005)	16169070	9606	10116
ETG2804	ETG362598	GOLGB1	Sh3d21	GCP|GCP372|GOLIM1	RGD1305090	Two-hybrid	Stelzl U (2005)	16169070	9606	10116
RP23-374O4.2	ETG79255	Nfe2l2	Atf4	AI194320|Nrf2	-	Two-hybrid	He CH (2001)	11274184	10090	10116
ETG79255	RP23-374O4.2	Atf4	Nfe2l2	-	AI194320|Nrf2	Affinity Capture-Western	He CH (2001)	11274184	10116	10090
ETG25747	ETG497778	Ppara	Dut	PPAR	Dutp|PIP4	Two-hybrid	Chu R (1996)	8910358	10116	10116
ETG497778	ETG19013	Dut	Ppara	Dutp|PIP4	4933429D07Rik|AW742785|Nr1c1|PPAR-alpha|PPARalpha|Ppar	Reconstituted Complex	Chu R (1996)	8910358	10116	10090
ETG497778	ETG19015	Dut	Ppard	Dutp|PIP4	NUC-1|NUC1|Nr1c2|PPAR-beta|PPAR-delta|PPAR[b]|PPARdelta|Pparb|Pparb/d	Reconstituted Complex	Chu R (1996)	8910358	10116	10090
ETG497778	ETG19016	Dut	Pparg	Dutp|PIP4	Nr1c3|PPAR-gamma|PPAR-gamma2|PPARgamma|PPARgamma2	Reconstituted Complex	Chu R (1996)	8910358	10116	10090
ETG497778	ETG25747	Dut	Ppara	Dutp|PIP4	PPAR	Reconstituted Complex	Chu R (1996)	8910358	10116	10116
ETG309	ETG25676	ANXA6	Rasa1	ANX6|CBP68	GAPX|Rasa	Reconstituted Complex	Davis AJ (1996)	8798684	9606	10116
ETG58974	ETG140674	Gabarap	Gabrg1	-	-	Two-hybrid	Kneussel M (2000)	10900017	10116	10116
ETG58974	ETG29709	Gabarap	Gabrg2	-	-	Two-hybrid	Kneussel M (2000)	10900017	10116	10116
ETG58974	ETG64845	Gabarap	Gphn	-	Geph	Two-hybrid	Kneussel M (2000)	10900017	10116	10116
ETG312703	ETG266759	Pex5	Hspa4	PTS1-BP|PTS1R	Hsp110|Hsp70|irp94	Reconstituted Complex	Harano T (2001)	11415446	10116	10116
ETG6722	ETG81785	SRF	Ssrp1	MCM1	-	Two-hybrid	Spencer JA (1999)	10336466	9606	10116
ETG81771	ETG2115	Rps6ka1	ETV1	-	ER81	Affinity Capture-Western	Wu J (2002)	12213813	10116	9606
ETG25012	ETG6804	Snap25	STX1A	SNAP-25B|SNAP-25a	HPC-1|P35-1|STX1|SYN1A	Two-hybrid	Araki S (1997)	9168999	10116	9606
ETG25012	ETG2054	Snap25	STX2	SNAP-25B|SNAP-25a	EPIM|EPM|STX2A|STX2B|STX2C	Two-hybrid	Araki S (1997)	9168999	10116	9606
ETG25012	ETG6809	Snap25	STX3	SNAP-25B|SNAP-25a	STX3A	Two-hybrid	Araki S (1997)	9168999	10116	9606
ETG25012	ETG6810	Snap25	STX4	SNAP-25B|SNAP-25a	STX4A|p35-2	Two-hybrid	Araki S (1997)	9168999	10116	9606
ETG6804	ETG25012	STX1A	Snap25	HPC-1|P35-1|STX1|SYN1A	SNAP-25B|SNAP-25a	Two-hybrid	Araki S (1997)	9168999	9606	10116
ETG2054	ETG25012	STX2	Snap25	EPIM|EPM|STX2A|STX2B|STX2C	SNAP-25B|SNAP-25a	Two-hybrid	Araki S (1997)	9168999	9606	10116
ETG6809	ETG25012	STX3	Snap25	STX3A	SNAP-25B|SNAP-25a	Two-hybrid	Araki S (1997)	9168999	9606	10116
ETG6810	ETG25012	STX4	Snap25	STX4A|p35-2	SNAP-25B|SNAP-25a	Two-hybrid	Araki S (1997)	9168999	9606	10116
RP11-56D16.3	ETG83589	STXBP1	Apba1	MUNC18-1|NSEC1|P67|RBSEC1|UNC18	Mint1	Two-hybrid	Okamoto M (1997)	9395480	9606	10116
RP11-56D16.3	ETG83610	STXBP1	Apba2	MUNC18-1|NSEC1|P67|RBSEC1|UNC18	Mint2	Two-hybrid	Okamoto M (1997)	9395480	9606	10116
RP11-56D16.3	ETG29495	STXBP1	Dlg4	MUNC18-1|NSEC1|P67|RBSEC1|UNC18	Dlgh4|PSD95|Sap90	Two-hybrid	Okamoto M (1997)	9395480	9606	10116
RP11-56D16.3	ETG65134	STXBP1	Stx5	MUNC18-1|NSEC1|P67|RBSEC1|UNC18	Stx5a	Two-hybrid	Okamoto M (1997)	9395480	9606	10116
ETG83589	ETG25558	Apba1	Stxbp1	Mint1	ANC18HA|Munc18-1|NSEC1A|Sec1|Unc18-1|n-sec1|nSec1|rbSec1|rbSec1A|rbSec1B	Affinity Capture-Western	Okamoto M (1997)	9395480	10116	10116
ETG83589	ETG25558	Apba1	Stxbp1	Mint1	ANC18HA|Munc18-1|NSEC1A|Sec1|Unc18-1|n-sec1|nSec1|rbSec1|rbSec1A|rbSec1B	Reconstituted Complex	Okamoto M (1997)	9395480	10116	10116
ETG83589	ETG116470	Apba1	Stx1a	Mint1	-	Affinity Capture-Western	Okamoto M (1997)	9395480	10116	10116
ETG83589	ETG116470	Apba1	Stx1a	Mint1	-	Reconstituted Complex	Okamoto M (1997)	9395480	10116	10116
ETG83589	ETG25012	Apba1	Snap25	Mint1	SNAP-25B|SNAP-25a	Reconstituted Complex	Okamoto M (1997)	9395480	10116	10116
ETG83610	ETG25558	Apba2	Stxbp1	Mint2	ANC18HA|Munc18-1|NSEC1A|Sec1|Unc18-1|n-sec1|nSec1|rbSec1|rbSec1A|rbSec1B	Affinity Capture-Western	Okamoto M (1997)	9395480	10116	10116
ETG83610	ETG116470	Apba2	Stx1a	Mint2	-	Affinity Capture-Western	Okamoto M (1997)	9395480	10116	10116
ETG116500	ETG308578	Snap29	Ap2a1	Gs32	-	Affinity Capture-Western	Rotem-Yehudar R (2001)	11423532	10116	10116
ETG25718	ETG293692	Igf1r	Ehd1	IGFIRC|Igfr1|JTK13	RGD1306960	Affinity Capture-Western	Rotem-Yehudar R (2001)	11423532	10116	10116
